index,kabc_absTEC,kabc_absCB,usln_absTEC,usln_absCB,kazn_absTEC,kazn_absCB,kula_absTEC,kula_absCB,tyla_absTEC,tyla_absCB,rybn_absTEC,rybn_absCB,kamu_absTEC,kamu_absCB,tetu_absTEC,tetu_absCB,time,date
6,13.656,186451595.80066776,13.503,187504944.6841177,15.908,172750800.15917817,16.896,167623887.44925293,14.345,181918799.96539074,13.718,186029774.46338445,13.673,186335649.66678065,,,,08-05-2022
7,14.518,180831657.38192382,14.295,182236673.35120612,16.944,167386291.45817825,17.331,165506878.43052384,15.179,176850494.42500567,14.527,180775632.8391435,14.393,181615201.17242023,,,,08-05-2022
8,14.882,178606478.88089123,14.725,179556117.86826634,17.333,165497329.497677,16.512,169561800.2394045,15.493,175049187.12098897,14.934,178295254.9696922,14.718,179598811.96439028,,,,08-05-2022
9,14.78,179221720.33829805,14.546,180657529.60212585,17.061,166811357.76193795,16.813,168037128.81768015,15.233,176536754.3474881,14.679,179837237.86008087,14.548,180645111.1432968,,,,08-05-2022
10,15.222,176600528.93692857,14.974,178056955.93915612,17.445,164965212.91945305,16.715,168529009.51449496,15.661,174107754.35765955,15.151,177013834.40717497,15.069,177494803.33177593,,,,08-05-2022
11,15.477,175139645.97961795,15.358,175816863.10444123,17.747,163555587.0354241,16.97,167258014.74001452,15.964,172447538.33257398,15.531,174834907.84372887,15.536,174806771.74418175,,,,08-05-2022
12,15.661,174107754.35765955,15.683,173985592.94584456,18.081,162037911.0394516,19.623,155541096.73358288,16.206,171155138.2064244,15.767,173521512.67665526,15.776,173472009.74786946,,,,08-05-2022
13,16.179,171297893.0844789,16.222,171070710.95343608,18.486,160253079.71068713,21.664,148032998.2167321,16.782,168192257.75357056,16.175,171319072.34928343,16.273,170802430.58790895,,,,08-05-2022
14,16.275,170791935.49246827,16.407,170103507.8864458,18.58,159847189.22265184,21.098,150005511.02244878,17.021,167007249.27181813,16.269,170823426.58437276,16.434,169963715.9100436,,,,08-05-2022
15,16.349,170404971.85189977,16.461,169824268.0135378,18.591,159799892.70146403,20.047,153887435.96987402,17.051,166860266.0099065,16.3,170660909.8226319,16.422,170025803.1142734,,,,08-05-2022
16,16.35,170399760.61099726,16.484,169705749.40142554,18.556,159950527.57363915,17.97,162537591.5778221,17.127,166489638.35396868,16.345,170425821.59770787,16.486,169695455.15802634,,,,08-05-2022
17,16.017,172161988.8269323,16.292,170702805.22275305,18.299,161069822.55337915,16.664,168786703.14500818,16.897,167618927.20874852,16.112,171653685.41810596,16.168,171356154.97333422,,,,08-05-2022
18,15.764,173538023.0729257,16.102,171706979.1215907,17.989,162451732.71644428,16.909,167559438.64877415,16.464,169808794.981023,15.886,172870377.23052397,15.788,173406071.6993367,,,,08-05-2022
19,15.705,173863688.31465414,16.123,171595119.6205979,18.453,160396308.1672132,18.328,160942343.44947192,16.378,170254039.69688708,15.918,172696528.91277614,15.739,173675793.23408988,,,,08-05-2022
20,15.856,173033837.7680973,16.167,171361454.45701307,18.314,161003847.28161436,18.199,161511740.1490053,16.372,170285234.13444638,15.986,172328835.96741453,15.748,173626158.18428192,13.994,184186130.4864969,10:00:00,08-05-2022
21,15.618,174347269.25734764,15.982,172350399.98376212,17.849,163087589.6142033,17.827,163188190.4080548,16.115,171637706.98108998,15.837,173137602.92071864,15.532,174829279.5369415,13.975,184311294.98811972,10:30:00,08-05-2022
22,15.243,176478837.36343297,15.616,174358433.55597,17.41,165130947.65668714,17.776,163422119.2109012,15.728,173736516.14253196,15.45,175292613.8202984,15.149,177025518.8742927,14.291,182262175.26475823,11:00:00,08-05-2022
23,15.176,176867973.51257616,15.453,175275597.59797803,17.236,165962365.4213959,17.514,164639935.06024498,15.539,174789896.60327289,15.307,176109513.64456013,14.695,179739307.28969315,13.92,184675056.75670868,11:30:00,08-05-2022
24,14.914,178414763.83422017,15.211,176664372.69279963,16.955,167331984.52976167,17.087,166684397.31200546,15.219,176617934.005609,15.191,176780629.86035216,14.159,183109791.41874522,13.103,190345444.89545646,12:00:00,08-05-2022
25,14.639,180082766.32155505,14.848,178810854.81966054,16.547,169382377.84977737,16.982,167198909.48530132,15.025,177754505.89640024,14.978,178033178.55293286,13.694,186192720.28247586,12.118,197930346.3989376,12:30:00,08-05-2022
26,14.474,181106306.93352476,14.693,179751539.86242923,16.252,170912746.02921307,17.138,166436199.21333542,14.971,178074795.23212984,14.906,178462634.71349165,13.865,185040980.85222602,11.314,204842360.41482398,13:00:00,08-05-2022
27,14.447,181275462.73576176,14.562,180558253.57891136,16.058,171942062.53123966,16.904,167584217.85043705,14.732,179513454.2053,14.811,179034063.0720193,14.141,183226294.07255703,10.575,211878881.07703206,13:30:00,08-05-2022
28,14.37,181760485.7765269,14.446,181281736.87136063,15.816,173252508.1924753,15.916,172707379.07010242,14.636,180101221.52166378,14.69,179769893.40533867,14.164,183077468.9896892,10.567,211959069.88909099,14:00:00,08-05-2022
29,14.388,181646755.1454457,14.495,180975068.1976918,15.776,173472009.74786946,15.96,172469146.9459453,14.723,179568313.07443845,14.708,179659856.39427054,14.35,181887104.03345487,10.611,211519154.364142,14:30:00,08-05-2022
30,14.305,182172965.37046146,14.525,180788078.23744673,15.643,174207896.22816786,16.618,169020149.49201742,14.635,180107374.51602927,14.678,179843363.83688027,14.4,181571053.22294754,10.023,217635127.21720475,15:00:00,08-05-2022
31,14.242,182575445.1028153,14.466,181156377.79622695,15.613,174375184.02596837,15.879,172908476.5852555,14.643,180058168.21102896,14.52,180819202.98214447,14.507,180900202.6119464,9.66,221686524.92181662,15:30:00,08-05-2022
32,13.577,186993258.59146705,14.065,183720657.309506,15.292,176195865.82942876,15.856,173033837.7680973,14.262,182447384.87445983,14.151,183161542.93293297,14.219,182723048.2565872,9.024,229365616.92266467,16:00:00,08-05-2022
33,13.427,188034857.0822367,13.72,186016214.94775268,14.986,177985652.3431824,15.331,175971613.8411146,13.884,184914324.90726778,13.766,185705162.13324928,13.764,185718653.73573238,8.545,235706644.47075078,16:30:00,08-05-2022
34,12.792,192645395.5972729,13.083,190490880.00598907,14.266,182421805.14985117,16.033,172076063.56669104,13.179,189795814.04400373,13.051,190724271.17094868,12.935,191577562.05025184,,,,08-05-2022
35,12.758,192901924.26025587,13.046,190760816.0890198,14.912,178426727.94245383,18.202,161498429.65600976,12.915,191725841.91923875,12.867,192083123.0899123,12.787,192683056.22273725,,,,08-05-2022
36,13.045,190768127.59382653,13.405,188189093.22374314,15.516,174919397.72825444,16.621,169004895.19531584,13.111,190287364.05044103,13.087,190461766.3148507,13.183,189767017.83475834,,,,08-05-2022
37,12.799,192592707.80128542,12.915,191725841.91923875,14.996,177926298.0705668,14.676,179855617.66879156,12.612,194015254.4891498,12.569,194346845.420213,12.808,192525029.82757318,,,,08-05-2022
38,12.095,198118450.4005321,12.122,197897687.32002562,13.762,185732148.27916422,15.129,177142490.94921714,11.903,199709921.9787557,11.616,202162014.75270388,11.944,199366856.60337526,,,,08-05-2022
39,11.113,206686543.11288857,11.22,205698644.74891067,12.565,194377777.5938006,13.642,186547243.54215387,10.88,208887961.2152149,10.566,211969099.89358678,10.852,209157270.78989574,,,,08-05-2022
40,10.107,216728849.69866154,10.443,213213755.5023308,11.911,199642843.32307944,11.869,199995762.4680122,9.933,218618867.9270342,9.714,221069489.94612157,9.759,220559211.14775354,,,,08-05-2022
41,9.627,222066154.96157572,9.962,218300429.46624225,11.727,201202974.20782003,11.115,206667946.9957865,9.248,226570805.29611132,8.978,229952459.10650104,9.064,228858954.9013868,,,,08-05-2022
42,9.278,226204205.40337223,9.775,220378628.40443072,11.723,201237297.47217885,10.298,214709576.37119588,8.978,229952459.10650104,9.002,229645719.36243674,8.821,231989830.59480485,,,,08-05-2022
43,8.832,231845317.27916762,9.52,223310623.73973075,11.132,206510082.39550278,10.781,209844859.92207858,8.922,230672992.3019235,8.924,230647142.2438716,8.497,236371466.50652826,,,,08-05-2022
44,8.462,236859794.58527526,8.246,239941955.2722326,10.485,212786289.43050024,10.071,217115865.80994672,8.483,236566435.0503167,8.361,238286120.74274758,7.798,246738115.47549748,,,,08-05-2022
